Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,North Macedonia,MKD,11.77688593,4.549135783,2.925257665,3.629123513,3.85586514,2.848205194,1.081772738,2.88059671,3.910419538,-6.110886711,5.506016461,2.146656473
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Northern Mariana Islands,MNP,11.77688593,5.015934757,2.680965147,4.177545692,3.383458647,29.21212121,23.17073171,-19.26884996,-11.32075472,-29.68085106,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Norway,NOR,1.932291328,3.318945671,1.016190824,2.048131999,1.857339726,1.164724235,2.463746285,0.828931484,1.123746964,-1.278171785,3.898399067,3.280557654
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Oman,OMN,-0.130425738,6.551066885,5.227704081,1.292252294,5.017057997,5.046423946,0.304057566,1.287103915,-1.128711062,-3.3797144,3.092276687,4.311253509
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,4.458586815,4.260088012,4.396456634,4.674707982,4.731147475,5.526735845,4.432625907,6.151702611,2.497636929,-1.274087443,6.487086774,6.188155474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Palau,PLW,4.458586815,4.260088012,-3.387309936,6.293865865,7.539063225,-0.083373224,-4.078810923,0.108108108,0.395968323,-9.107206884,-13.33333333,6.188155474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Panama,PAN,8.098993006,2.715374155,6.903948051,5.066422355,5.733054296,4.953211423,5.591148876,3.685429938,3.281874934,-17.66833271,15.83576496,10.8093662
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Papua New Guinea,PNG,-3.012169222,-2.494841993,3.824946328,13.54377062,6.578356323,5.489573153,3.534610818,-0.279252285,4.480430622,-3.167381176,0.1,4.599999979
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Paraguay,PRY,4.123282879,-2.314140568,8.293076489,5.301238592,2.957151735,4.268025833,4.810078856,3.204250341,-0.401855101,-0.819785391,4.016737318,0.075439465
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,-4.982563536,2.694371398,5.852518211,2.382157372,3.252244772,3.953318715,2.518835442,3.969351341,2.240631769,-10.86964078,13.41753029,2.683871435
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,3.082672529,4.382504833,6.750531301,6.347987483,6.348309717,7.14945675,6.930988326,6.341485572,6.118525662,-9.51829474,5.714733132,6.570332488
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Poland,POL,3.082672529,4.56098541,0.856557081,3.836958494,4.383298635,2.953508842,5.140017574,5.945208477,4.450036364,-2.020116215,6.847760739,4.874023579
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Portugal,PRT,3.950522763,3.816178063,-0.922644675,0.792190302,1.792046046,2.019485396,3.506345285,2.849325934,2.682759921,-8.300516042,5.502757475,6.685751184
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Puerto Rico,PRI,-2.840540726,3.271964529,-0.306826657,-1.190363454,-1.049443651,-1.263002925,-2.885954759,-4.360606061,1.675063105,-4.202806719,0.432646954,3.360972555
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Qatar,QAT,-2.840540726,3.271964529,5.556040643,5.334323292,4.753345724,3.064191884,-1.497604702,1.234872202,0.774808388,-3.640449805,1.590998164,4.827689101
